year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2023,-7.0586,130.009,104.95,7.6,21,1.574,0.8,6.9,2.259,0.041,58,1
2021,-7.5482,127.5773,165.49,7.3,19,3.713,1.06,6.3,3.3,0.052,36,1
2021,-7.6033,122.2274,14.27,7.3,32,1.025,0.61,5.1,2.6,0.055,32,0
2023,-6.416,129.5466,6.0,7.1,53,5.771,0.7,3.56,1.73,0.045,47,0
2023,-6.7888,116.5211,500.0,7.1,22,2.377,0.72,9.04,1.928,0.037,70,2
2023,-0.8082,98.5112,34.0,7.1,34,2.297,0.7,7.37,1.785,0.062,25,0
2023,-6.0413,112.0478,597.0,7.0,31,1.885,0.71,9.21,1.944,0.055,32,2
2021,4.9931,127.5145,80.0,7.0,15,2.821,0.77,6.3,1.9,0.061,26,1
2023,2.7306,127.0221,29.708,7.0,21,1.976,0.95,6.7,3.131,0.027,133,0
2020,-4.2069,101.2411,26.0,6.9,25,1.716,0.81,6.6,1.8,0.033,86,0
2022,-4.9043,100.7862,25.0,6.9,34,2.229,0.52,6.86,1.872,0.05,39,0
2020,-6.71,123.4649,624.0,6.9,20,2.267,1.31,8.8,1.9,0.052,36,2
2020,-6.7761,129.7852,96.0,6.8,16,1.921,0.76,6.4,1.9,0.065,23,1
2020,-4.3217,101.1347,22.0,6.8,34,1.816,0.91,7.3,1.8,0.063,24,0
2022,-0.6294,98.6259,28.0,6.7,43,2.188,0.92,5.2,1.8,0.062,25,0
2021,0.1364,96.6442,11.0,6.7,37,1.487,0.69,7.7,1.8,0.048,42,0
2024,4.9225,126.1575,62.574,6.7,22,2.209,0.76,7.15,3.404,0.06,27,0
2023,5.5627,125.0013,52.0,6.7,21,1.604,1.02,6.69,1.896,0.038,66,0
2023,-6.4442,129.7518,10.0,6.7,29,5.74,0.82,3.62,1.723,0.034,85,0
2023,-6.131,129.8738,10.0,6.7,28,1.598,0.42,6.55,1.807,0.039,64,0
2022,-6.86,105.2887,33.0,6.6,22,2.418,0.54,3.5,1.7,0.063,24,0
2020,-5.6023,110.6893,533.76,6.6,14,1.458,1.16,8.7,2.7,0.056,31,2
2024,-5.8754,112.3646,9.471,6.4,39,2.239,0.62,5.96,3.096,0.038,65,0
2024,2.6982,127.0624,22.0,6.4,23,1.937,0.48,6.59,1.763,0.041,58,0
2020,2.911,128.248,112.86,6.4,20,2.3,0.86,6.4,4.7,0.055,32,1
2023,5.3171,126.0438,113.0,6.4,23,1.801,0.88,6.22,1.901,0.037,71,1
2023,3.2796,128.1356,92.0,6.3,27,2.607,0.89,6.8,1.873,0.056,31,1
2020,2.3481,96.3575,17.0,6.3,33,1.599,0.97,4.3,1.7,0.043,53,0
2021,-5.6856,101.6495,10.0,6.3,29,1.851,0.5,6.7,1.8,0.037,69,0
2021,-0.7679,121.9083,11.0,6.3,18,0.905,1.29,5.0,1.7,0.045,47,0
2023,-2.9934,139.372,33.0,6.3,15,1.412,0.81,6.56,1.732,0.073,18,0
2021,-2.9717,118.8899,18.0,6.2,28,2.203,1.12,3.5,1.7,0.066,22,0
2021,0.3165,126.2911,26.0,6.2,30,1.166,1.24,6.0,1.8,0.05,38,0
2022,-2.2492,138.1979,18.0,6.2,15,5.98,0.64,3.4,1.711,0.047,43,0
2022,-2.2313,138.1784,21.0,6.2,24,5.963,0.62,7.75,1.788,0.046,45,0
2022,-0.988,98.6046,17.0,6.2,23,2.498,0.64,6.77,1.603,0.06,27,0
2023,-5.2611,125.585,4.0,6.2,37,4.366,0.57,6.72,1.838,0.052,35,0
2022,-5.0926,103.079,45.258,6.2,42,0.738,0.72,5.19,3.158,0.046,46,0
2023,-6.9484,129.5293,158.0,6.2,23,2.439,0.59,7.21,1.818,0.042,54,1
2020,-6.0817,113.0778,592.42,6.2,31,5.479,1.04,8.3,4.2,0.041,58,2
2022,-8.2572,127.2079,49.0,6.2,19,3.264,1.32,6.9,1.8,0.075,17,0
2022,3.8109,96.0514,42.181,6.2,20,1.668,0.73,6.54,3.541,0.059,28,0
2021,4.1322,124.6443,300.0,6.1,19,3.062,0.98,7.2,1.9,0.036,73,2
2020,5.1789,125.4212,14.0,6.1,27,1.884,1.08,7.1,1.7,0.054,33,0
2020,5.5669,125.0521,59.0,6.1,11,1.582,1.34,4.1,1.7,0.038,67,0
2023,1.9837,97.9979,37.0,6.1,32,0.796,0.52,6.09,1.851,0.039,63,0
2021,2.9494,126.4984,44.33,6.1,32,2.33,0.92,6.6,3.6,0.065,23,0
2020,-0.1042,123.8025,121.72,6.1,22,1.389,0.78,6.8,3.6,0.05,39,1
2021,0.0658,122.9487,148.0,6.1,13,1.114,1.23,6.7,1.8,0.035,78,1
2021,0.1831,96.5601,9.0,6.1,28,1.506,0.97,6.9,1.6,0.039,64,0
2022,0.219,100.1006,4.0,6.1,25,0.945,1.37,5.9,1.7,0.052,35,0
2024,-3.3167,130.9618,16.0,6.1,28,1.344,0.6,5.17,1.722,0.039,63,0
2023,0.8388,98.835,84.0,6.1,38,1.341,0.85,5.56,1.521,0.062,25,1
2023,-6.6176,132.106,39.742,6.1,32,3.022,0.56,6.77,6.347,0.047,44,0
2023,-10.0561,123.7541,51.0,6.1,13,6.023,0.88,2.65,1.839,0.054,33,0
2023,-6.0976,130.0606,9.969,6.1,37,1.572,0.75,6.43,2.746,0.043,51,0
2024,-5.9828,124.8988,576.0,6.1,23,3.73,0.5,9.16,1.954,0.04,61,2
2024,-8.005,107.2798,59.701,6.1,19,0.652,0.64,7.14,3.11,0.044,50,0
2021,-8.5707,112.5054,67.0,6.0,21,1.631,0.83,7.3,1.9,0.066,22,0
2020,-7.4887,131.1196,54.0,6.0,21,0.521,1.05,6.3,1.8,0.057,30,0
2022,-7.483,128.3132,119.0,6.0,14,3.0,0.8,4.3,1.8,0.047,43,1
2020,5.4543,126.5692,19.0,6.0,44,1.882,1.2,5.2,1.7,0.046,45,0
2020,1.395,126.4381,42.0,6.0,31,1.115,1.23,6.6,1.9,0.06,27,0
